iter	Logloss
0	0.6869619562
1	0.6816674136
2	0.675972242
3	0.6700690623
4	0.6651003548
5	0.6606669051
6	0.6550817168
7	0.6497983611
8	0.6441306639
9	0.6386909913
10	0.634815859
11	0.6309638291
12	0.6264911609
13	0.6216746127
14	0.618433663
15	0.6156736224
16	0.6122602827
17	0.608470531
18	0.6057629532
19	0.6012753262
20	0.596621224
21	0.5922110911
22	0.589021447
23	0.5858817797
24	0.5816133049
25	0.5780694083
26	0.5746815714
27	0.5709159937
28	0.5676299534
29	0.5646831641
30	0.5614210836
31	0.5580796231
32	0.5554831858
33	0.5520899483
34	0.5489167631
35	0.5461325913
36	0.5430080971
37	0.5405024411
38	0.5376367033
39	0.5352897644
40	0.5328327993
41	0.530644449
42	0.5284573844
43	0.5262215432
44	0.5243611711
45	0.522379843
46	0.520202551
47	0.5188791939
48	0.5162202642
49	0.5142335356
50	0.5125264371
51	0.5108174099
52	0.5085977704
53	0.5063052231
54	0.5048387077
55	0.5024990125
56	0.4999447083
57	0.4976213862
58	0.4961639576
59	0.4938464218
60	0.4924654586
61	0.4910742085
62	0.4892893588
63	0.4879321838
64	0.4866505312
65	0.484352069
66	0.4826311261
67	0.4807063756
68	0.4797001528
69	0.4789191257
70	0.4777072521
71	0.476473519
72	0.4749590413
73	0.4734306764
74	0.4721680545
75	0.4704868874
76	0.4692102497
77	0.4676999724
78	0.4660558808
79	0.4652125326
80	0.4641381596
81	0.4627777271
82	0.4615912277
83	0.460872993
84	0.459416293
85	0.4583936541
86	0.4568579599
87	0.4551424177
88	0.4537304653
89	0.4523503164
90	0.4515478584
91	0.4501296911
92	0.4495870183
93	0.4486466311
94	0.4476563529
95	0.4464456794
96	0.445513736
97	0.4444975264
98	0.4437237857
99	0.4422965318
100	0.4411117468
101	0.4401847325
102	0.4391764523
103	0.4382775982
104	0.4370664104
105	0.4359984237
106	0.4353980161
107	0.434365519
108	0.4331300714
109	0.4323979924
110	0.431666685
111	0.4312321524
112	0.4303964336
113	0.4294989939
114	0.4289258464
115	0.4280919279
116	0.4270445577
117	0.4267154651
118	0.425934438
119	0.4250337408
120	0.4244940254
121	0.4235676112
122	0.4225620313
123	0.4216626628
124	0.4208757636
125	0.4201835461
126	0.4195994688
127	0.4189823022
128	0.418535854
129	0.4178225057
130	0.4174773827
131	0.4170942842
132	0.4163894653
133	0.4158622227
134	0.4152424416
135	0.414788364
136	0.4143513026
137	0.4140013791
138	0.4131913774
139	0.4127071681
140	0.4122492329
141	0.4116181363
142	0.4112334519
143	0.410591897
144	0.4101785381
145	0.4095483844
146	0.409235965
147	0.4089295891
148	0.4081637779
149	0.4074239409
150	0.4070368992
151	0.4067294517
152	0.4064012163
153	0.4059341516
154	0.4053784917
155	0.4049956075
156	0.4046067656
157	0.4040216596
158	0.403539079
159	0.4032005139
160	0.4028232874
161	0.4024167007
162	0.402014143
163	0.4016150142
164	0.4008302153
165	0.4002214067
166	0.3998233067
167	0.3994366078
168	0.3987759794
169	0.3983835799
170	0.3981557696
171	0.3974864403
172	0.3972150824
173	0.396942353
174	0.3966187895
175	0.3960517712
176	0.3957015905
177	0.3953448521
178	0.3949404084
179	0.3945313357
180	0.3942969676
181	0.3939263419
182	0.3936258809
183	0.3932748002
184	0.3929399212
185	0.3927572872
186	0.3923540437
187	0.3920812285
188	0.3917576651
189	0.3915094954
190	0.3909999119
191	0.3906803774
192	0.390514931
193	0.3900721261
194	0.389505022
195	0.3893498624
196	0.3891845875
197	0.3888264345
198	0.388534203
199	0.3884014173
200	0.3880686385
201	0.3878324702
202	0.3875038061
203	0.3869918652
204	0.3867340088
205	0.3864417773
206	0.3859602682
207	0.3855295074
208	0.3852917103
209	0.3852134019
210	0.384848091
211	0.3845658892
212	0.3841247559
213	0.3839203052
214	0.383485044
215	0.3832263732
216	0.3828096711
217	0.382550186
218	0.3821947762
219	0.3818203358
220	0.3814933863
221	0.38121007
222	0.3810294934
223	0.380712702
224	0.3803794089
225	0.3799662215
226	0.3797214808
227	0.3795586918
228	0.379310265
229	0.3791004138
230	0.3788949345
231	0.3786097323
232	0.3784871476
233	0.3782156612
234	0.3780480717
235	0.3778276765
236	0.3777154644
237	0.3773702557
238	0.3772773314
239	0.3771613046
240	0.3767123276
241	0.3765283649
242	0.3764120809
243	0.3763018404
244	0.37587378
245	0.375753167
246	0.3756723725
247	0.3752676717
248	0.3750103297
249	0.3748060934
250	0.3746198161
251	0.374280008
252	0.3739425145
253	0.3736908302
254	0.3734657202
255	0.3733642235
256	0.3732491397
